unit,street,city,state,postal,country,property value,existing mortgage amount
839,3 Homewood Street,Lawrence,01841,MA ,US,175302605,10345878
184,91 Snake Hill St,Monroeville,15146,PA ,US,115608154,93968231
,5 East Peachtree St,Gastonia,28052,NC ,US,24713914,1926239
,9264 Addison St,Park Ridge,60068,IL ,US,201761687,83010125
657,7940 High Ridge Avenue,Valparaiso,46383,IN ,US,64585142,21172307
33,73 Wentworth Street,Milwaukee,53204,WI ,US,205181359,180460817
986,602 W. Nichols Drive,Lansdale,19446,PA ,US,222433818,83105619
163,61 Court St,Marietta,30008,GA ,US,227251642,17287222
882,9632 Market Ave,Pensacola,32503,FL ,US,223120847,53973419
,992 Madison Dr,Oak Creek,53154,WI ,US,25396773,3792792
957,8147 Bellevue Ave,Malden,02148,MA ,US,195485292,32492185
14,9617 NW. Birchpond Dr,Chardon,44024,OH ,US,71373681,19611766
154,352 Magnolia Dr,Billerica,01821,MA ,US,9121810,6163874
501,9733 Canal St,Newark,07103,NJ ,US,45226416,3350867
827,9248 Princeton Avenue,Upland,91784,CA ,US,225734332,134720260
,8202 Blue Spring Ave,Canton,30114,GA ,US,216762789,111472198
318,82 N. Beacon St,Branford,06405,CT ,US,292263640,258059238
371,84 Theatre St,Pittsfield,01201,MA ,US,76121834,14700054
,7972 Essex Dr,Mcallen,78501,TX ,US,88472286,9780011
447,2 4th Drive,Bonita Springs,34135,FL ,US,180684856,80146676
,9793 Randall Mill Lane,Douglasville,30134,GA ,US,88321821,46562050
,467 Ann Ave,Worcester,01604,MA ,US,26522445,23791407
987,20 Lancaster Road,Cocoa,32927,FL ,US,160933861,2475876
174,7 Park St,Beachwood,44122,OH ,US,113232801,53600386
,801 Gates Ave,Christiansburg,24073,VA ,US,164169579,82931974
573,584 SW. Lincoln St,Champlin,55316,MN ,US,127398713,72327194
,30 SE. Monroe Ave,Buffalo Grove,60089,IL ,US,163684683,138268888
615,7394 Gartner St,Lilburn,30047,GA ,US,225991846,141421480
,22 Sussex Lane,Richmond,23223,VA ,US,15465942,7556570
27,8360 Depot Ave,Piqua,45356,OH ,US,110077018,96554498
,9941 Military St,Northbrook,60062,IL ,US,269377966,120971786
544,833 Old La Sierra Ave,Bethesda,20814,MD ,US,67216096,9938487
,8720 Rockcrest Ave,Midlothian,23112,VA ,US,17005292,9169300
,7938 Fairfield Avenue,Eden Prairie,55347,MN ,US,277726534,151671332
256,423 E. Arnold Rd,Tacoma,98444,WA ,US,89579936,7832944
71,505 Edgefield Road,New City,10956,NY ,US,293787760,1724433
,7295 Harvey Ave,New Rochelle,10801,NY ,US,163486550,112478092
641,9931 Lake Forest Dr,Staunton,24401,VA ,US,157089332,31334027
,9061 Richardson Street,Moorhead,56560,MN ,US,1354171,49251
668,875 Lake Forest Street,Westford,01886,MA ,US,220339259,53153156
777,8564 Rocky River Ave,Newport News,23601,VA ,US,25277391,2595339
,457 N. Selby St,Florence,29501,SC ,US,114687180,10902942
383,9524 Fawn St,Maineville,45039,OH ,US,113070114,94568489
452,72 Ramblewood Ave,Villa Rica,30180,GA ,US,110966932,50210357
388,9257 Tunnel Court,Sugar Land,77478,TX ,US,291806738,1398180
238,500 Williams Lane,Michigan City,46360,IN ,US,110368739,26094750
227,8245 Bayport Court,Saint Joseph,49085,MI ,US,133649774,97552145
485,8777 Euclid St,Rolla,65401,MO ,US,282988724,254339264
75,419 Bedford Dr,Glendale,85302,AZ ,US,150866600,59344540
227,110 Clay Rd,Brooklyn,11201,NY ,US,87242095,41048191
415,306 Oakland Ave,Redford,48239,MI ,US,157473380,136474904
,7966 Lower River Dr,Williamstown,08094,NJ ,US,133160893,65697430
348,11 Miles Road,Bakersfield,93306,CA ,US,214927845,128344169
3,8003 Bowman Lane,Syosset,11791,NY ,US,37267228,27632689
,766 Overlook Drive,Pittsburgh,15206,PA ,US,12547082,9218168
439,139 Pulaski St,Manahawkin,08050,NJ ,US,238716526,64181380
749,11 Livingston Street,Mesa,85203,AZ ,US,86545186,14650507
,97 Pine St,Tuscaloosa,35405,AL ,US,149069390,127593904
368,8841 N. Spring Lane,Tullahoma,37388,TN ,US,160459828,79158321
176,849 University Drive,Mcdonough,30252,GA ,US,16082500,2329274
88,625 South Grove Drive,Harleysville,19438,PA ,US,48802865,29638114
127,8270 East Hawthorne St,Lindenhurst,11757,NY ,US,107659942,12534296
222,54 Snake Hill Street,Clearwater,33756,FL ,US,37603006,14693172
,9636 E. Walnutwood St,Northbrook,60062,IL ,US,151073195,72498226
18,7350 Grand Street,Long Beach,11561,NY ,US,214185383,26868661
368,1 Morris Street,Pittsford,14534,NY ,US,19298968,14268752
938,18 South Ridge Ave,Westminster,21157,MD ,US,132048727,72049327
,75 West Heritage Ave,Wallingford,06492,CT ,US,208830014,11023077
,7011 Indian Summer Street,Frankfort,40601,KY ,US,141313222,31614134
,541 Whitemarsh Avenue,Williamsport,17701,PA ,US,24919680,22345649
853,9322 Wintergreen Court,Apex,27502,NC ,US,154481773,125750015
487,9322 West Bay Avenue,Ashtabula,44004,OH ,US,237023439,170217382
593,26 Beech Lane,Reidsville,27320,NC ,US,203967417,93091978
708,8497 S. Rockland St,Egg Harbor Township,08234,NJ ,US,249459200,21810859
,70 E. Hamilton Avenue,Medina,44256,OH ,US,154847374,98619594
,900 Whitemarsh Dr,Irmo,29063,SC ,US,237028238,158377636
,322 Bayberry St,Palm Coast,32137,FL ,US,148976345,48930774
403,1 Dogwood Ave,Medford,02155,MA ,US,73069290,32456009
608,7728 South Lane,Deer Park,11729,NY ,US,294574915,120054920
64,73 Wentworth Street,Milwaukee,53204,WI ,US,205181359,180460817
,7 Tunnel Drive,Pickerington,43147,OH ,US,110920077,98347719
,8095 N. Bedford Ave,Oak Forest,60452,IL ,US,154717252,68847283
517,97 Wall St,Milwaukee,53204,WI ,US,238267752,70385408
903,86 Pleasant St,Stillwater,55082,MN ,US,124033111,8598455
84,7060 Creekside St,Dalton,30721,GA ,US,228130056,78474192
,23 Tailwater St,Lawndale,90260,CA ,US,109992380,16936126
431,7781 Ketch Harbour St,Dedham,02026,MA ,US,297362406,206189342
399,505 Edgefield Road,New City,10956,NY ,US,293787760,1724433
,78 Tailwater Drive,Flemington,08822,NJ ,US,23089991,2898143
989,379 Mayfield Ave,Sheboygan,53081,WI ,US,83609767,10981396
457,180 Gates Road,Ooltewah,37363,TN ,US,188094393,63110158
,447 Rose Street,Hephzibah,30815,GA ,US,284086029,233538240
578,5 High Avenue,Randolph,02368,MA ,US,135055309,24273199
,33 Fairway Drive,Madison Heights,48071,MI ,US,196672597,10583121
455,43 W. Strawberry Dr,Niagara Falls,14304,NY ,US,299314704,260961956
102,9045 N. Wintergreen Rd,Jupiter,33458,FL ,US,69730694,39676205
147,9085 Delaware Ave,Clover,29710,SC ,US,1434291,400186
,95 Old White St,Fayetteville,28303,NC ,US,9203660,6975312
532,66 Hawthorne Avenue,Cockeysville,21030,MD ,US,132725604,33118886
,8171 Philmont Drive,West Fargo,58078,ND ,US,284763626,17194770
,69 Homewood Ave,Westwood,07675,NJ ,US,123790866,111395391
854,31 South Fairway Avenue,Rolling Meadows,60008,IL ,US,186126540,9369887
409,9 North Heather Drive,Stone Mountain,30083,GA ,US,122951682,64451330
,9478 Clay Lane,New Berlin,53151,WI ,US,294961498,147850296
,7279 Lafayette Court,Annapolis,21401,MD ,US,161854341,48133839
15,7226 Cedarwood Street,Holbrook,11741,NY ,US,273256542,192798005
,8813 West Baker Rd,Glen Allen,23059,VA ,US,67105111,4485326
429,93 Pleasant Ave,Clementon,08021,NJ ,US,229858498,16100339
,3 Laurel Court,Miamisburg,45342,OH ,US,297300087,152793812
,8824 South Birch Hill Avenue,Lake Charles,70605,LA ,US,24307524,2850224
151,16 East Sherwood Ave,Bettendorf,52722,IA ,US,275520744,17561213
81,779 Kent St,Akron,44312,OH ,US,160925846,125772090
,7655 53rd Circle,Simpsonville,29680,SC ,US,169997427,15723187
878,7302 Pine Road,Little Rock,72209,AR ,US,275016399,223194050
801,866 E. High Point St,Carrollton,30117,GA ,US,18735280,12074600
58,570 Annadale Court,Seattle,98144,WA ,US,26884914,9243215
147,18 S. Foster St,Asbury Park,07712,NJ ,US,125883660,78812693
54,63 Depot St,Sevierville,37876,TN ,US,286209055,195947835
984,7938 Sycamore St,Oshkosh,54901,WI ,US,183830884,96022419
,7076 Colonial Road,Monroe,10950,NY ,US,134914108,103157177
,937 East Kent Street,Flushing,11354,NY ,US,68494435,4217251
353,804 Randall Mill Ave,Eau Claire,54701,WI ,US,157047474,32119801
,61 East Foster St,Randallstown,21133,MD ,US,44375468,9552072
,9108A Mayfield Drive,Snellville,30039,GA ,US,244916999,61512525
,8030 North Sugar Court,Arlington,02474,MA ,US,114529654,60121269
,936 Albany Circle,Amsterdam,12010,NY ,US,83241040,57899911
,798 Iroquois Dr,Lakeville,55044,MN ,US,66372274,43237397
403,96 Plumb Branch Dr,Huntington Station,11746,NY ,US,47497799,33791571
108,95 Oxford Street,Elmhurst,11373,NY ,US,14689205,8381268
745,507 Beaver Ridge Lane,Miami Beach,33139,FL ,US,133541233,78310498
,708 Rock Creek St,Collegeville,19426,PA ,US,148359431,52780395
134,77 West Cambridge St,Reading,01867,MA ,US,78362006,11639769
138,910 Linda St,Rock Hill,29730,SC ,US,168964115,135760868
280,5 East Second Ave,Reisterstown,21136,MD ,US,21449678,9332231
88,42 W. Central St,Schaumburg,60193,IL ,US,294483869,60848840
,5 Mayfield Ave,Ashland,44805,OH ,US,158903555,110111816
,8082 Primrose Circle,West Babylon,11704,NY ,US,880580,62136
907,8255 West University Dr,Mundelein,60060,IL ,US,69681350,52649666
,16 Middle River St,Germantown,20874,MD ,US,241083569,95985011
298,9808 Green Hill Dr,Concord,03301,NH ,US,209899494,12598866
950,7496 Penn Lane,Spring Hill,34608,FL ,US,65224433,22910831
281,9247 York St,Navarre,32566,FL ,US,279250520,58506683
28,214 Shady St,Basking Ridge,07920,NJ ,US,216405775,102079309
,7554 Atlantic St,South Ozone Park,11420,NY ,US,91315545,26997517
620,7511 Old St Paul Ave,Lumberton,28358,NC ,US,22979371,17657726
429,8507 West Gainsway Street,Portland,04103,ME ,US,117154746,48870172
,851 Brickyard Ave,Londonderry,03053,NH ,US,174525510,63847358
297,9285 Creekside Street,Peabody,01960,MA ,US,185982791,113510412
142,560 Queen St,Brainerd,56401,MN ,US,20145280,1790310
,9090 W. Fordham Street,Crystal Lake,60014,IL ,US,242731692,55531910
488,813 County Road,Myrtle Beach,29577,SC ,US,73789047,32213895
,19 George Lane,Lithonia,30038,GA ,US,116881755,68319333
,8001 Bear Hill St,Temple Hills,20748,MD ,US,187025490,165483307
,837 Young Ave,Terre Haute,47802,IN ,US,234995022,171250998
762,521 Williams Street,Port Chester,10573,NY ,US,79033508,60889044
,945 Cherry St,Alexandria,22304,VA ,US,213428520,162201099
,15 Thomas Lane,Conyers,30012,GA ,US,99241559,20348020
500,518 Birchwood St,Gaithersburg,20877,MD ,US,19659988,1091152
196,60 Bradford St,Douglasville,30134,GA ,US,147826490,5054363
22,582 Carson Court,Elk Grove Village,60007,IL ,US,117786607,61044095
,965 Lake Forest Street,Woburn,01801,MA ,US,117833388,88241060
590,270 Elm Rd,Cedar Rapids,52402,IA ,US,296318484,247974612
,539 Parker Street,Longview,75604,TX ,US,181579602,28132150
,7929 East Dr,Henrico,23228,VA ,US,291660068,51465412
,254 Tanglewood Ave,Rochester,14606,NY ,US,263576861,132874428
685,7685 Lakewood Street,Howard Beach,11414,NY ,US,26605700,20416520
,879 Sherman Ave,Mason City,50401,IA ,US,147971779,33124893
777,47 Pumpkin Hill Lane,Calumet City,60409,IL ,US,195329035,51269646
,9115 East Ashley Ave,Hillsboro,97124,OR ,US,277439026,158549298
248,39 Coffee St,Norfolk,23503,VA ,US,139679760,153226
,587 Philmont St,Coachella,92236,CA ,US,141771788,64556372
454,9511 Wall St,Brandon,33510,FL ,US,112061297,89557022
206,8204 Green Dr,East Brunswick,08816,NJ ,US,82335622,69503037
,338 John Court,Lake Zurich,60047,IL ,US,23553391,18473744
789,8669 Gulf Road,Pewaukee,53072,WI ,US,85489422,28886039
113,9315 Spruce Lane,Vienna,22180,VA ,US,29530656,19208461
,27 Pacific St,West Bend,53095,WI ,US,254685497,13250682
,927 West Armstrong Court,Selden,11784,NY ,US,129801872,42598447
,5 W. Marsh St,Southfield,48076,MI ,US,215069453,9530538
712,874 Bay Street,Elk River,55330,MN ,US,287054189,228659469
,648 Stillwater St,Plainview,11803,NY ,US,260149738,141017723
707,64 West Sutor Street,Shakopee,55379,MN ,US,52205771,28920982
,92 Manor Street,Wantagh,11793,NY ,US,227625317,22159608
458,945 Lakewood Ave,Central Islip,11722,NY ,US,105608025,53744956
976,7375 Studebaker St,Vineland,08360,NJ ,US,205015355,153073127
930,56 Devon Rd,Falls Church,22041,VA ,US,39335810,13884529
144,338 Clark Street,Barberton,44203,OH ,US,283438637,229720190
939,842C Market St,Santa Monica,90403,CA ,US,227012480,30536758
,55 Summit St,Jamestown,14701,NY ,US,70941938,29369695
,970 Ann Ave,York,17402,PA ,US,141866814,120370177
242,135 East Tallwood Lane,Clearwater,33756,FL ,US,196289332,105942917
802,2 Shore Drive,Matthews,28104,NC ,US,265176977,224979109
242,141 Courtland Street,Indian Trail,28079,NC ,US,241505758,48744847
492,8 S. County Ave,Hopewell,23860,VA ,US,54094340,47965955
,89 Fremont Ave,Deland,32720,FL ,US,13064335,9160790
36,30 Jennings Street,Lebanon,17042,PA ,US,165507017,126911691
643,7640 Squaw Creek Dr,Chesapeake,23320,VA ,US,54771291,20024453
583,29 San Juan Ave,Prattville,36067,AL ,US,130308051,72505460
,7 La Sierra Avenue,Dallas,30132,GA ,US,2404098,1913967
,999 S. Wood Lane,Land O Lakes,34639,FL ,US,102631415,87010669
569,8206 Vermont Ave,Fresno,93706,CA ,US,107322252,87929057
702,8262 Wild Horse St,Northville,48167,MI ,US,248782833,119093921
628,18 Grand Drive,Cottage Grove,55016,MN ,US,17792444,11536927
48,331 Bridle Avenue,Ann Arbor,48103,MI ,US,290076823,138582126
556,725 E. Longfellow Dr,Rome,13440,NY ,US,41852321,26580442
,92 South Hamilton St,Farmingdale,11735,NY ,US,77820366,39088776
382,2 Hilldale Ave,Lapeer,48446,MI ,US,161594030,10403059
561,86 Old Beech St,Emporia,66801,KS ,US,141366670,36485054
819,397 East Bishop Road,Niles,49120,MI ,US,249111785,41683487
767,8255 West University Dr,Mundelein,60060,IL ,US,69681350,52649666
,9443 San Juan Street,Gallatin,37066,TN ,US,137231982,69624575
407,442 Market Rd,Granger,46530,IN ,US,136926015,52277579
884,203 Wilson St,Powell,37849,TN ,US,229298639,197327065
,96 Market Street,North Canton,44720,OH ,US,108796901,76966965
,9726 Johnson St,Ridgefield,06877,CT ,US,41536042,20881808
,76 Glen Creek Ave,Sheboygan,53081,WI ,US,223232126,193975307
,8696 Gulf Avenue,Mableton,30126,GA ,US,164131824,8921656
,54 Victoria Lane,Braintree,02184,MA ,US,216377785,41638357
,640 NE. Elm Rd,Cantonment,32533,FL ,US,17838961,11046869
442,640 Brandywine Drive,Allen Park,48101,MI ,US,109898192,60974224
994,625 South Grove Drive,Harleysville,19438,PA ,US,48802865,29638114
,79 Howard Ave,Lewis Center,43035,OH ,US,170473587,144939345
571,81 Kirkland Court,Painesville,44077,OH ,US,287213414,208853959
200,69 Third St,Dearborn,48124,MI ,US,87488613,69440471
,7479 Center Dr,Camas,98607,WA ,US,123206508,80918082
631,40 W. Rockwell Road,Lewis Center,43035,OH ,US,41326609,35111435
60,13 Highland Dr,Redondo Beach,90278,CA ,US,64763370,40628253
652,153 N. Pumpkin Hill Drive,Madisonville,42431,KY ,US,21229656,181188
323,8282B NE. Bowman St,Johnston,02919,RI ,US,70073702,42255229
992,642 San Pablo St,Cranston,02920,RI ,US,251639433,198516953
,892 Shirley Lane,Perrysburg,43551,OH ,US,152261243,10261811
351,9862 Summit St,Allison Park,15101,PA ,US,91705670,31581910
396,817 Ann St,Winchester,22601,VA ,US,153466528,123033839
,7033 Green Lake Dr,Salisbury,21801,MD ,US,232531740,184543114
,7167 St Louis Rd,Marshfield,54449,WI ,US,250770919,152558934
750,788 Magnolia Street,Canyon Country,91387,CA ,US,99829987,15795475
301,60 Stonybrook Street,Gaithersburg,20877,MD ,US,259583702,203749702
750,260 Pine Lane,Maspeth,11378,NY ,US,53683309,26461862
646,65 Homestead Street,Jackson Heights,11372,NY ,US,103361865,40908251
,8740 Greystone Ave,Fitchburg,01420,MA ,US,127364935,100789223
359,979 Shipley Street,Kingston,12401,NY ,US,80499087,3095029
,96 Washington Street,Monsey,10952,NY ,US,223092131,181288900
151,505 Edgefield Road,New City,10956,NY ,US,293787760,1724433
,806 Bradford St,Frederick,21701,MD ,US,277913632,81275610
255,8797 Ridge Dr,Hyattsville,20782,MD ,US,79808008,12267347
561,52 Garfield Ave,West Haven,06516,CT ,US,70756236,50821362
453,197 King Avenue,Piscataway,08854,NJ ,US,33277933,12900861
988,50 S. New Saddle Lane,Wheeling,26003,WV ,US,262675906,13804316
,216 Vermont St,Newark,07103,NJ ,US,38419271,34115700
,246 Rockledge Street,Crystal Lake,60014,IL ,US,232526792,27061747
,421 E. Ashley Rd,North Augusta,29841,SC ,US,247085484,62387362
330,8 W. Lawrence Street,Collierville,38017,TN ,US,138579369,84533571
923,238 Fairway Ave,Woodhaven,11421,NY ,US,30628028,1381611
721,45 Pilgrim St,Grand Forks,58201,ND ,US,31573970,21689356
,7341 New Circle,Muskegon,49441,MI ,US,205115105,92715042
584,65 Nichols St,Yorktown Heights,10598,NY ,US,156286630,55048499
761,20 Country St,Lagrange,30240,GA ,US,77425078,11912981
545,458 Glenlake Street,Shelbyville,37160,TN ,US,29903306,1191713
,9724 S. Glenlake Dr,Fairmont,26554,WV ,US,41085234,16828296
30,8622 East Newport St,Williamsburg,23185,VA ,US,95241393,58655188
,9 River Drive,Arlington Heights,60004,IL ,US,21172580,3288095
271,7 La Sierra Avenue,Dallas,30132,GA ,US,2404098,1913967
329,7685 Lakewood Street,Howard Beach,11414,NY ,US,26605700,20416520
650,465 S. John St,Hobart,46342,IN ,US,59665469,1082612
,7773 Carriage Lane,San Antonio,78213,TX ,US,289844610,13431468
210,65 Glen Creek Ave,Victoria,77904,TX ,US,93232032,22255427
543,905 Brickell Street,Olive Branch,38654,MS ,US,35619003,24707290
,52 Magnolia St,Saint Charles,60174,IL ,US,229615765,58389384
,72 Railroad Dr,Mechanicsburg,17050,PA ,US,130701782,53835384
435,4 Queen Rd,Valrico,33594,FL ,US,229949677,52828847
167,185 Division Ave,Cincinnati,45211,OH ,US,108564459,84120848
123,48 Lincoln Ave,Oklahoma City,73112,OK ,US,117942553,69884786
,63 Cedar Ave,Caldwell,07006,NJ ,US,218682317,71130437
,84 Ohio St,Amsterdam,12010,NY ,US,290746393,67728144
,90 North Marconi Road,New Berlin,53151,WI ,US,157159760,50359015
472,203 Hillcrest Drive,Warwick,02886,RI ,US,75888284,55208156
723,8930 Big Rock Cove Court,Reynoldsburg,43068,OH ,US,144144347,38332154
832,5 Hall Street,Port Saint Lucie,34952,FL ,US,104260843,79930808
,80 Golden Star Street,Fremont,43420,OH ,US,158289400,35188058
453,667 Dogwood St,Ellenwood,30294,GA ,US,97266739,82118804
,97 E. High Noon Lane,Bridgeport,06606,CT ,US,271532541,46313056
248,8282B NE. Bowman St,Johnston,02919,RI ,US,70073702,42255229
,8232 Canterbury Road,East Brunswick,08816,NJ ,US,213814569,11574692
153,9233 Ridgewood Street,North Royalton,44133,OH ,US,177274967,111129307
,663 Andover Ave,Orange Park,32065,FL ,US,150981110,110767702
306,8849 Bay Meadows St,Tullahoma,37388,TN ,US,173130523,24531685
616,40 W. Rockwell Road,Lewis Center,43035,OH ,US,41326609,35111435
,39 Atlantic Rd,Lady Lake,32159,FL ,US,232544571,51248211
,946 Colonial Lane,Palm Harbor,34683,FL ,US,63520771,19227079
,910 Linda St,Rock Hill,29730,SC ,US,168964115,135760868
,9949 Greystone Ave,Floral Park,11001,NY ,US,198509112,7315266
,7027 Overlook Street,Bluffton,29910,SC ,US,165116675,125433465
,673 Silver Spear St,Villa Rica,30180,GA ,US,46810642,41497836
,191 N. Edgewood Court,Riverdale,30274,GA ,US,218411869,85603344
557,668 Johnson St,Hopewell Junction,12533,NY ,US,24814605,16508606
,7685 Lakewood Street,Howard Beach,11414,NY ,US,26605700,20416520
,7108 East New Saddle St,Collegeville,19426,PA ,US,238529664,143626227
,699 Cypress Street,Merrick,11566,NY ,US,67569658,39217877
297,50 Bay Meadows Dr,Batavia,45103,OH ,US,185775822,44667728
900,8259 Constitution Street,Clover,29710,SC ,US,104823011,60618764
,552 Canal Street,Annandale,22003,VA ,US,279569003,140192484
544,879 Sherman Ave,Mason City,50401,IA ,US,147971779,33124893
880,96 SW. Homewood Drive,Dallas,30132,GA ,US,121775293,57140696
,7576 Oakland St,Perrysburg,43551,OH ,US,71038748,31069316
343,626 S. Livingston St,Neenah,54956,WI ,US,133228493,20324352
170,57 Wentworth St,Taylors,29687,SC ,US,219276122,177470717
,8910 William Dr,Morristown,07960,NJ ,US,78417244,36712542
266,3 Homewood Street,Lawrence,01841,MA ,US,175302605,10345878
,9 Walnut St,West Chester,19380,PA ,US,81475906,4480616
,8426 Sussex St,Osseo,55311,MN ,US,37052782,29453728
,98B Windsor Drive,Battle Ground,98604,WA ,US,228542020,185295840
,320 St Margarets St,Lake Charles,70605,LA ,US,25005661,4791725
,152 Lincoln Dr,Mobile,36605,AL ,US,133927099,101607186
195,397 Elmwood Lane,Pompano Beach,33060,FL ,US,28596565,20371765
881,9027 West Stillwater St,Bethpage,11714,NY ,US,32226285,28179795
398,518 Birchwood St,Gaithersburg,20877,MD ,US,19659988,1091152
519,854 Goldfield St,Grand Forks,58201,ND ,US,100632135,36579280
,300 Rose Rd,Bay City,48706,MI ,US,96993928,48138881
,72 South Brookside St,Cookeville,38501,TN ,US,130639604,53479451
,55 Tower Ave,Olympia,98512,WA ,US,52043911,33218144
632,7 Kent Court,Merrillville,46410,IN ,US,211403001,35031907
412,68 Newport Lane,Natchez,39120,MS ,US,4658142,1198397
,108 Yukon St,Kernersville,27284,NC ,US,112189285,87176922
862,347 Edgefield Dr,Watertown,02472,MA ,US,148158007,96406809
,483 Rockland Ave,Eastpointe,48021,MI ,US,168521955,116989560
400,301 Berkshire Circle,Silver Spring,20901,MD ,US,193514880,164589681
,51 Peg Shop Street,Munster,46321,IN ,US,141563616,107954431
,23 S. St Paul St,Prior Lake,55372,MN ,US,66610031,28554797
21,70 SE. Railroad Avenue,Sylvania,43560,OH ,US,260011496,197158455
37,8594 Smith Store Rd,Ogden,84404,UT ,US,104727148,11136266
,699 N. Honey Creek St,Chesterton,46304,IN ,US,220405146,104053229
992,8528 Brookside Drive,Cary,27511,NC ,US,36828442,17484401
,21 Blackburn Street,Maryville,37803,TN ,US,258810260,85318373
985,7063 Kingston St,Villa Park,60181,IL ,US,186226616,11605471
316,21 Tunnel St,Menomonee Falls,53051,WI ,US,265469914,71612885
345,88 King Dr,Jamaica,11432,NY ,US,6045986,4569472
,711 Rockledge St,Winder,30680,GA ,US,72569591,12059411
357,77 Valley View St,South Richmond Hill,11419,NY ,US,158922965,95474411
808,336 Marlborough Court,Olympia,98512,WA ,US,299295511,196975479
238,9433 John Street,Montgomery,36109,AL ,US,2833540,2139288
690,176 Cherry St,Colonial Heights,23834,VA ,US,140290781,87888057
87,815 Park Court,South Ozone Park,11420,NY ,US,51521322,23638626
657,879 Sherman Ave,Mason City,50401,IA ,US,147971779,33124893
518,7362 Windfall Ave,Saint Louis,63109,MO ,US,187789651,42405966
,7051 Lantern Dr,Mishawaka,46544,IN ,US,80009394,13473332
768,17 Pleasant Road,Morton Grove,60053,IL ,US,242447224,125277209
,7362 Windfall Ave,Saint Louis,63109,MO ,US,187789651,42405966
4,974 E. Arcadia Ave,Avon,46123,IN ,US,44707628,19599892
,7904 Iroquois Lane,Muncie,47302,IN ,US,97469791,10112666
,9720 4th Lane,Valparaiso,46383,IN ,US,16828145,1146182
,486 E. Halifax St,Waukesha,53186,WI ,US,277389934,95431555
119,7310 West Kingston St,Shrewsbury,01545,MA ,US,232421392,172690209
697,7462 Ivy Street,Mason City,50401,IA ,US,280524069,29612095
675,23 Canterbury Road,Rockford,49341,MI ,US,178510933,144432531
839,7508 Mayfair St,Troy,12180,NY ,US,88905066,35108306
600,7795 Green Hill Rd,Stockbridge,30281,GA ,US,27257269,6456438
254,8931 South Prince Ave,Jupiter,33458,FL ,US,299469381,51897193
608,78 Fawn St,Nashua,03060,NH ,US,135345809,77779388
969,118 Plymouth Dr,Marlborough,01752,MA ,US,22680044,4264401
922,80 Vine Ave,Sulphur,70663,LA ,US,37893090,12371870
868,7191 East Greystone Court,Benton Harbor,49022,MI ,US,155692291,110796592
212,525 Studebaker St,Belmont,02478,MA ,US,4489087,2734338
907,73 Addison St,Goshen,46526,IN ,US,261145781,1432773
240,626 S. Livingston St,Neenah,54956,WI ,US,133228493,20324352
803,468 Vine Street,Mesa,85203,AZ ,US,28835940,16536878
,7218 Plumb Branch Ave,Harleysville,19438,PA ,US,117765464,103064652
,678 Main Court ,Haines City,33844,FL ,US,202831693,35506395
887,7362 Windfall Ave,Saint Louis,63109,MO ,US,187789651,42405966
,511 Smith Store St,Pelham,35124,AL ,US,70812094,14468262
,81 Baker St,Elyria,44035,OH ,US,276725512,158366973
400,7121 North Linda Ave,Indian Trail,28079,NC ,US,91236247,47391941
,9226 Old Andover Dr,Pembroke Pines,33028,FL ,US,177346463,135973552
,246 Stonybrook Rd,Ottawa,61350,IL ,US,234911561,168251555
,8793 Parker Drive,Yuma,85365,AZ ,US,163607243,13298417
202,260 Pine Lane,Maspeth,11378,NY ,US,53683309,26461862
153,7514 Inverness Court,Holyoke,01040,MA ,US,142611198,92937397
,854 South Middle River Dr,Westlake,44145,OH ,US,89394698,62740578
26,8313 Valley Farms Ave,Westport,06880,CT ,US,193219400,144487754
167,8 W. Marlborough Dr,Portage,46368,IN ,US,32496443,29152183
308,673 Silver Spear St,Villa Rica,30180,GA ,US,46810642,41497836
,779 Kent St,Akron,44312,OH ,US,160925846,125772090
794,7526 Arlington Ave,East Elmhurst,11369,NY ,US,141446993,111915331
784,8849 Bay Meadows St,Tullahoma,37388,TN ,US,173130523,24531685
883,795 Galvin St,Medford,02155,MA ,US,220356212,94174200
153,9577 El Dorado Rd,Fresh Meadows,11365,NY ,US,252454738,8149557
,108 Paris Hill St,Wasilla,99654,AK ,US,289766095,199814074
957,9007 Andover Ave,Clarkston,48348,MI ,US,151015429,44251022
,9380 Halifax Lane,Murrells Inlet,29576,SC ,US,228601175,121911216
521,165 Jockey Hollow Ave,Asheboro,27205,NC ,US,78567703,9073465
192,754 Eagle Lane,West Deptford,08096,NJ ,US,108733582,83152996
,7392 Trusel St,Pelham,35124,AL ,US,2126033,714448
,85 Rock Maple Street,Carmel,10512,NY ,US,287315565,196592549
829,214 Sleepy Hollow Dr,Wausau,54401,WI ,US,207792104,64126923
,171 Walt Whitman St,Midlothian,23112,VA ,US,204300273,20867092
,7963 Franklin St,Piqua,45356,OH ,US,84041812,10605870
833,8 Bohemia Ave,Ephrata,17522,PA ,US,140110578,71610803
,8404 Harrison St,Rossville,30741,GA ,US,183804952,79879143
933,27 Bellevue Rd,Holly Springs,27540,NC ,US,147753943,68699252
336,20 Longfellow Drive,Snohomish,98290,WA ,US,90490547,52945904
,94 Bay Meadows St,Levittown,11756,NY ,US,83424718,2080834
805,504 Smith Road,Allen Park,48101,MI ,US,170875267,32273392
124,994 Williams St,Clifton Park,12065,NY ,US,96606067,46767155
